Location,Total_Tickets,Total_Fines
100 comstock ave,141,5130
100 comstock pl,90,3035
100 marshall st,501,16395
100 walnut ave,14,325
100 walnut pl,674,18760
1000 marshall st,3,75
107 marshall st,2,200
108 marshall st,1,100
180 walnut pl,3,75
200 comstock,3,75
200 comstock ave,124,5000
200 comstock pl,6,185
200 marshall st,353,7855
200 walnut ave,4,75
200 walnut pl,398,11760
206 walnut pl,2,0
207 comstock ave,1,60
300 comstock ave,54,2105
300 marshall st,5,125
300 university ave,1,25
300 walnut ave,4,100
300 walnut pl,516,12445
305 walnut ave,1,60
306 walnut pl,1,60
400 marshall st,215,7545
400 university ave,38,900
400 university pl,2,50
400 walnut ave,5,0
417 comstock ave,2,85
422 marshall st,2,50
500 comstock ave,29,700
500 walnut ave,342,12205
500 walnut st,1,60
505 walnut ave,1,60
513 walnut ave,1,60
515 walnut ave,1,60
517 walnut ave,2,120
600 comstock ave,42,960
600 walnut ave,367,14090
600 walnut pl,1,25
600. walnut ave,4,100
690 walnut ave,1,25
700 comstock ave,448,11815
700 university ave,25,950
700 walnut ave,43,1305
720 university ave,1,100
721 comstock ave,1,60
800 university ave,45,3150
800 walnut ave,200,5055
803  walnut ave,1,60
803 walnut ave,1,60
804  university ave,2,200
804 university ave,33,3300
900 comstock ave,3,75
900 walnut ave,368,11090
905 walnut ave,1,0
madison st/walnut ave,1,25
marshall st,1,0
waverly ave/comstock ave,1,25
