X,Y,z,Date,Location,Violation,Owed,Amount,Unnamed: 8,Unnamed: 9,Unnamed: 10
-8475095.698,5318298.7774786,24592260,2024-08-01 09:59:00+00:00,200 marshall st,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25,-76.13308,43.041553,100014
-8475095.698,5318298.7774786,24592261,2024-08-01 09:59:00+00:00,200 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.13308,43.041553,100016
-8475103.157,5318300.90986428,24592262,2024-08-01 10:00:00+00:00,200 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.133147,43.041567,100017
-8475174.624,5318314.46575604,24592263,2024-08-01 10:02:00+00:00,200 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.133789,43.041656,100019
-8475176.961,5318298.16822564,24592264,2024-08-01 10:03:00+00:00,200 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Collections,25,-76.13381,43.041549,100018
-8475195.774,5318305.78389051,24592265,2024-08-01 10:04:00+00:00,200 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Collections,25,-76.133979,43.041599,100022
-8475184.086,5318300.90986428,24592266,2024-08-01 10:05:00+00:00,200 marshall st,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25,-76.133874,43.041567,100024
-8475197.555,5318296.4927802,24592267,2024-08-01 10:06:00+00:00,200 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Collections,25,-76.133995,43.041538,100025
-8475197.555,5318296.4927802,24592268,2024-08-01 10:07:00+00:00,200 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.133995,43.041538,100027
-8475203.678,5318299.99598464,24592269,2024-08-01 10:08:00+00:00,200 marshall st,NO STOPPING ANY TIME CO15-316 (A)14,Collections,25,-76.13405,43.041561,100029
-8475006.531,5318367.92794783,24523006,2024-08-01 10:29:00+00:00,800 walnut ave,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25,-76.132279,43.042007,100057
-8475006.531,5318367.92794783,24523007,2024-08-01 10:32:00+00:00,800 walnut ave,UNINSPECTED/ ALL TIMES VTL 306-B,Collections,25,-76.132279,43.042007,100059
-8475006.531,5318367.92794783,24523008,2024-08-01 10:32:00+00:00,800 walnut ave,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.132279,43.042007,100060
-8475006.531,5318367.92794783,24523009,2024-08-01 10:34:00+00:00,800 walnut ave,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25,-76.132279,43.042007,100062
-8475030.966,5318551.3162517,24523010,2024-08-01 10:36:00+00:00,700 walnut ave,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25,-76.1324985,43.043211,100065
-8475030.966,5318551.3162517,24523011,2024-08-01 10:38:00+00:00,700 walnut ave,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25,-76.1324985,43.043211,100066
-8475067.312,5318613.15730513,24523012,2024-08-01 10:42:00+00:00,100 walnut pl,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25,-76.132825,43.043617,100068
-8475067.312,5318613.15730513,24523013,2024-08-01 10:42:00+00:00,100 walnut pl,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25,-76.132825,43.043617,100070
-8475090.076,5318437.53587528,24523014,2024-08-01 10:47:00+00:00,200 walnut pl,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Collections,25,-76.1330295,43.042464,100074
-8475090.076,5318437.53587528,24523015,2024-08-01 10:47:00+00:00,200 walnut pl,UNINSPECTED/ ALL TIMES VTL 306-B,Collections,25,-76.1330295,43.042464,100075
-8475090.076,5318437.53587528,24523016,2024-08-01 10:48:00+00:00,200 walnut pl,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25,-76.1330295,43.042464,100076
-8475107.108,5318278.51983894,24523017,2024-08-01 10:58:00+00:00,300 walnut pl,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.1331825,43.04142,100081
-8474736.581,5317633.64920674,24523018,2024-08-01 14:43:00+00:00,700 comstock ave,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.129854,43.037186,100157
-8474742.815,5317712.84679298,24523019,2024-08-01 14:45:00+00:00,700 comstock ave,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.12991,43.037706,100158
-8474742.815,5317712.84679298,24523020,2024-08-01 14:45:00+00:00,700 comstock ave,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25,-76.12991,43.037706,100159
-8474742.036,5317721.52810767,24523021,2024-08-01 14:46:00+00:00,700 comstock ave,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.129903,43.037763,100160
-8474742.036,5317721.52810767,24523022,2024-08-01 14:47:00+00:00,700 comstock ave,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.129903,43.037763,100161
-8474742.036,5317721.52810767,24523023,2024-08-01 14:47:00+00:00,700 comstock ave,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Adjudication Sustained,25,-76.129903,43.037763,100162
-8474741.702,5317731.42786233,24523024,2024-08-01 14:48:00+00:00,700 comstock ave,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.1299,43.037828,100163
-8474741.146,5317739.04306537,24523025,2024-08-01 14:49:00+00:00,700 comstock ave,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.129895,43.037878,100164
-8474752.723,5317924.551328,24523026,2024-08-01 14:51:00+00:00,700 comstock ave,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.129999,43.039096,100165
-8475107.108,5318278.51983894,24523047,2024-08-02 10:38:00+00:00,300 walnut pl,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Collections,25,-76.1331825,43.04142,100243
-8475119.187,5318318.27359434,24523048,2024-08-02 10:39:00+00:00,200 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.133291,43.041681,100245
-8475030.966,5318551.3162517,24511913,2024-08-02 10:39:00+00:00,700 walnut ave,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Collections,25,-76.1324985,43.043211,100248
-8475134.215,5318315.37963709,24523049,2024-08-02 10:41:00+00:00,200 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.133426,43.041662,100247
-8475192.769,5318319.33978934,24523050,2024-08-02 10:42:00+00:00,200 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.133952,43.041688,100249
-8475200.672,5318320.55829807,24523051,2024-08-02 10:43:00+00:00,200 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.134023,43.041696,100250
-8475388.246,5318308.37321798,24523052,2024-08-02 10:47:00+00:00,100 marshall st,PARKED IN LOADING ZONE/ALL CO15-329,Paid In Full,25,-76.135708,43.041616,100254
-8475477.524,5318314.92269655,24523053,2024-08-02 10:49:00+00:00,100 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Collections,25,-76.13651,43.041659,100256
-8475433.441,5318301.06217756,24523054,2024-08-02 10:51:00+00:00,100 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.136114,43.041568,100260
-8475386.91,5318316.1412047,24523055,2024-08-02 10:52:00+00:00,100 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.135696,43.041667,100262
-8475318.448,5318307.15471085,24523056,2024-08-02 10:54:00+00:00,100 marshall st,UNINSPECTED/ ALL TIMES VTL 306-B,Collections,25,-76.135081,43.041608,100264
-8475292.845,5318305.1746371,24523057,2024-08-02 10:55:00+00:00,100 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.134851,43.041595,100265
-8475265.906,5318236.78619337,24523058,2024-08-02 10:56:00+00:00,800 university ave,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.134609,43.041146,100267
-8475269.913,5318230.3890817,24523059,2024-08-02 10:58:00+00:00,800 university ave,NONE/ONE LICENSE PLATE/ALL VTL402-1,Collections,25,-76.134645,43.041104,100268
-8474747.491,5317704.92700415,24523072,2024-08-02 14:49:00+00:00,700 comstock ave,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.129952,43.037654,100358
-8474760.181,5317725.03109658,24523073,2024-08-02 14:50:00+00:00,700 comstock ave,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.130066,43.037786,100360
-8474745.487,5317782.60214598,24523074,2024-08-02 14:52:00+00:00,700 comstock ave,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.129934,43.038164,100364
-8474748.381,5317824.02915227,24523075,2024-08-02 14:53:00+00:00,700 comstock ave,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.12996,43.038436,100365
-8474756.619,5317864.69481131,24523076,2024-08-02 14:54:00+00:00,700 comstock ave,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.130034,43.038703,100366
-8474750.162,5317895.91762842,24523077,2024-08-02 14:55:00+00:00,700 comstock ave,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.129976,43.038908,100369
-8475006.309,5318192.61574964,24523078,2024-08-02 15:03:00+00:00,900 walnut ave,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.132277,43.040856,100371
-8475006.531,5318421.54276072,24523079,2024-08-02 15:06:00+00:00,800 walnut ave,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Void Approved,0,-76.132279,43.042359,100372
-8474998.739,5318353.45809365,24523080,2024-08-02 15:07:00+00:00,800 walnut ave,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Collections,25,-76.132209,43.041912,100373
-8475008.98,5318345.2331339,24523081,2024-08-02 15:08:00+00:00,800 walnut ave,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.132301,43.041858,100376
,,448441D,2024-08-06 09:38:00+00:00,200 marshall st,NO PARKING ANY TIME CO15-316 (A)14,Collections,25,,,109549
,,448442D,2024-08-06 09:43:00+00:00,800 walnut ave,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,25,,,109584
-8475461.494,5318283.54616648,24523102,2024-08-06 10:28:00+00:00,100 marshall st,PARKED IN LOADING ZONE/ALL CO15-329,Paid In Full,25,-76.136366,43.041453,100626
-8475441.345,5318305.4792638,24523103,2024-08-06 10:32:00+00:00,100 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.136185,43.041597,100631
-8475441.345,5318305.4792638,24523104,2024-08-06 10:34:00+00:00,100 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Collections,25,-76.136185,43.041597,100632
-8475427.987,5318303.95613038,24523105,2024-08-06 10:35:00+00:00,100 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Collections,25,-76.136065,43.041587,100634
-8475420.528,5318308.8301582,24523106,2024-08-06 10:36:00+00:00,100 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.135998,43.041619,100638
-8475367.652,5318309.43941186,24523107,2024-08-06 10:37:00+00:00,100 marshall st,UNINSPECTED/ ALL TIMES VTL 306-B,Void Approved,0,-76.135523,43.041623,100645
-8475371.77,5318301.82374401,24523109,2024-08-06 10:39:00+00:00,100 marshall st,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25,-76.13556,43.041573,100651
-8475371.77,5318301.82374401,24523108,2024-08-06 10:39:00+00:00,100 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.13556,43.041573,100652
-8475363.421,5318303.19456376,24523110,2024-08-06 10:40:00+00:00,100 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Adjudication Dismissed,0,-76.135485,43.041582,100653
-8475351.844,5318298.92979185,24523111,2024-08-06 10:41:00+00:00,100 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.135381,43.041554,100655
-8475303.42,5318293.5988297,24523112,2024-08-06 10:43:00+00:00,100 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.134946,43.041519,100656
-8475289.171,5318296.94971984,24523113,2024-08-06 10:44:00+00:00,100 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.134818,43.041541,100657
-8475284.719,5318302.58531051,24523114,2024-08-06 10:45:00+00:00,100 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.134778,43.041578,100658
-8475067.2,5318494.8066814,24511914,2024-08-07 10:13:00+00:00,100 walnut pl,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Paid In Full,25,-76.132824,43.04284,100773
-8475057.961,5318495.56826364,24511915,2024-08-07 10:14:00+00:00,100 walnut pl,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25,-76.132741,43.042845,100775
-8475057.961,5318495.56826364,24511916,2024-08-07 10:14:00+00:00,100 walnut pl,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Paid In Full,25,-76.132741,43.042845,100777
-8475057.961,5318495.56826364,24511917,2024-08-07 10:16:00+00:00,100 walnut pl,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Paid In Full,25,-76.132741,43.042845,100779
-8475057.961,5318495.56826364,24511918,2024-08-07 10:16:00+00:00,100 walnut pl,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Paid In Full,25,-76.132741,43.042845,100780
-8475057.961,5318495.56826364,24511919,2024-08-07 10:17:00+00:00,100 walnut pl,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Paid In Full,25,-76.132741,43.042845,100781
-8475066.755,5318538.82623638,24511920,2024-08-07 10:18:00+00:00,100 walnut pl,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Paid In Full,25,-76.13282,43.043129,100782
-8475061.189,5318550.40234756,24511921,2024-08-07 10:19:00+00:00,100 walnut pl,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Paid In Full,25,-76.13277,43.043205,100785
-8475068.536,5318544.00502119,24511922,2024-08-07 10:19:00+00:00,100 walnut pl,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Paid In Full,25,-76.132836,43.043163,100786
-8475061.523,5318581.93209152,24511923,2024-08-07 10:20:00+00:00,100 walnut pl,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Paid In Full,25,-76.132773,43.043412,100787
-8475067.98,5318563.50164856,24511924,2024-08-07 10:21:00+00:00,100 walnut pl,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25,-76.132831,43.043291,100788
-8475063.972,5318456.87996468,24511925,2024-08-07 10:24:00+00:00,100 walnut pl,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Collections,25,-76.132795,43.042591,100793
-8475090.076,5318437.53587528,24511926,2024-08-07 10:25:00+00:00,200 walnut pl,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Paid In Full,25,-76.1330295,43.042464,100795
-8475090.076,5318437.53587528,24511927,2024-08-07 10:26:00+00:00,200 walnut pl,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Paid In Full,25,-76.1330295,43.042464,100797
-8475090.076,5318437.53587528,24511928,2024-08-07 10:27:00+00:00,200 walnut pl,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Paid In Full,25,-76.1330295,43.042464,100798
-8475090.076,5318437.53587528,24511929,2024-08-07 10:28:00+00:00,200 walnut pl,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Paid In Full,25,-76.1330295,43.042464,100799
-8475090.076,5318437.53587528,24511930,2024-08-07 10:30:00+00:00,200 walnut pl,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Paid In Full,25,-76.1330295,43.042464,100802
-8475090.076,5318437.53587528,24511931,2024-08-07 10:30:00+00:00,200 walnut pl,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Paid In Full,25,-76.1330295,43.042464,100803
-8475090.076,5318437.53587528,24511932,2024-08-07 10:32:00+00:00,200 walnut pl,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Collections,25,-76.1330295,43.042464,100806
-8475090.076,5318437.53587528,24511933,2024-08-07 10:33:00+00:00,200 walnut pl,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Void Approved,0,-76.1330295,43.042464,100808
-8475090.076,5318437.53587528,24511934,2024-08-07 10:34:00+00:00,200 walnut pl,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Paid In Full,25,-76.1330295,43.042464,100810
-8475090.076,5318437.53587528,24511935,2024-08-07 10:35:00+00:00,200 walnut pl,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Paid In Full,25,-76.1330295,43.042464,100813
-8475090.076,5318437.53587528,24511936,2024-08-07 10:36:00+00:00,200 walnut pl,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Paid In Full,25,-76.1330295,43.042464,100816
-8475100.93,5318300.757551,24511937,2024-08-07 10:38:00+00:00,200 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.133127,43.041566,100817
-8475100.93,5318300.757551,24511938,2024-08-07 10:39:00+00:00,200 marshall st,UNINSPECTED/ ALL TIMES VTL 306-B,Adjudicate 30 days Pay or Appeal,25,-76.133127,43.041566,100818
